"년월일","호기","구분","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2018-01-01","1","발전량","0","0","0","0","0","0","0","0.001","0.089","0.288","0.443","0.552","0.603","0.577","0.495","0.332","0.119","0.004","0","0","0","0","0","0"
"2018-01-02","1","발전량","0","0","0","0","0","0","0","0.001","0.082","0.266","0.419","0.512","0.517","0.493","0.414","0.266","0.081","0.003","0","0","0","0","0","0"
"2018-01-03","1","발전량","0","0","0","0","0","0","0","0.001","0.093","0.303","0.466","0.541","0.606","0.593","0.446","0.305","0.136","0.006","0","0","0","0","0","0"
"2018-01-04","1","발전량","0","0","0","0","0","0","0","0","0.032","0.134","0.239","0.407","0.508","0.419","0.318","0.138","0.035","0.001","0","0","0","0","0","0"
"2018-01-05","1","발전량","0","0","0","0","0","0","0","0","0.028","0.193","0.42","0.54","0.572","0.564","0.498","0.342","0.127","0.006","0","0","0","0","0","0"
"2018-01-06","1","발전량","0","0","0","0","0","0","0","0.001","0.076","0.269","0.469","0.566","0.606","0.586","0.513","0.364","0.145","0.004","0","0","0","0","0","0"
"2018-01-07","1","발전량","0","0","0","0","0","0","0","0","0.046","0.099","0.114","0.161","0.162","0.091","0.166","0.186","0.025","0.001","0","0","0","0","0","0"
"2018-01-08","1","발전량","0","0","0","0","0","0","0","0","0.007","0.035","0.064","0.099","0.08","0.072","0.062","0.033","0.012","0.001","0","0","0","0","0","0"
"2018-01-09","1","발전량","0","0","0","0","0","0","0","0.001","0.092","0.116","0.14","0.151","0.262","0.595","0.444","0.143","0.168","0.016","0","0","0","0","0","0"
"2018-01-10","1","발전량","0","0","0","0","0","0","0","0.001","0.017","0.067","0.094","0.394","0.145","0.378","0.207","0.167","0.161","0.009","0","0","0","0","0","0"
"2018-01-11","1","발전량","0","0","0","0","0","0","0","0.001","0.096","0.307","0.477","0.563","0.634","0.631","0.544","0.403","0.171","0.011","0","0","0","0","0","0"
"2018-01-12","1","발전량","0","0","0","0","0","0","0","0.001","0.102","0.317","0.492","0.602","0.654","0.639","0.566","0.42","0.186","0.012","0","0","0","0","0","0"
"2018-01-13","1","발전량","0","0","0","0","0","0","0","0.001","0.068","0.269","0.435","0.528","0.58","0.569","0.498","0.34","0.153","0.01","0","0","0","0","0","0"
"2018-01-14","1","발전량","0","0","0","0","0","0","0","0.001","0.048","0.123","0.241","0.438","0.562","0.48","0.494","0.208","0.149","0.009","0","0","0","0","0","0"
"2018-01-15","1","발전량","0","0","0","0","0","0","0","0","0.084","0.267","0.433","0.531","0.577","0.558","0.476","0.346","0.156","0.012","0","0","0","0","0","0"
"2018-01-16","1","발전량","0","0","0","0","0","0","0","0","0.007","0.039","0.03","0.027","0.068","0.036","0.027","0.024","0.004","0","0","0","0","0","0","0"
"2018-01-17","1","발전량","0","0","0","0","0","0","0","0","0.009","0.017","0.049","0.124","0.14","0.337","0.17","0.396","0.178","0.015","0","0","0","0","0","0"
"2018-01-18","1","발전량","0","0","0","0","0","0","0","0","0.022","0.099","0.274","0.459","0.514","0.459","0.33","0.256","0.128","0.014","0","0","0","0","0","0"
"2018-01-19","1","발전량","0","0","0","0","0","0","0","0.001","0.078","0.264","0.412","0.523","0.567","0.557","0.485","0.367","0.131","0.011","0","0","0","0","0","0"
"2018-01-20","1","발전량","0","0","0","0","0","0","0","0.001","0.084","0.258","0.41","0.511","0.549","0.522","0.402","0.283","0.114","0.014","0","0","0","0","0","0"
"2018-01-21","1","발전량","0","0","0","0","0","0","0","0","0.053","0.248","0.404","0.51","0.439","0.431","0.356","0.227","0.078","0.009","0","0","0","0","0","0"
"2018-01-22","1","발전량","0","0","0","0","0","0","0","0","0.026","0.067","0.099","0.125","0.192","0.372","0.446","0.329","0.138","0.015","0","0","0","0","0","0"
"2018-01-23","1","발전량","0","0","0","0","0","0","0","0.001","0.081","0.273","0.453","0.572","0.627","0.63","0.569","0.434","0.219","0.025","0","0","0","0","0","0"
"2018-01-24","1","발전량","0","0","0","0","0","0","0","0.001","0.109","0.33","0.508","0.615","0.624","0.49","0.536","0.45","0.196","0.032","0","0","0","0","0","0"
"2018-01-25","1","발전량","0","0","0","0","0","0","0","0.002","0.096","0.323","0.508","0.606","0.654","0.646","0.552","0.342","0.092","0.007","0","0","0","0","0","0"
"2018-01-26","1","발전량","0","0","0","0","0","0","0","0.002","0.114","0.33","0.499","0.598","0.657","0.662","0.594","0.464","0.246","0.033","0","0","0","0","0","0"
"2018-01-27","1","발전량","0","0","0","0","0","0","0","0.003","0.114","0.325","0.491","0.596","0.634","0.621","0.549","0.42","0.217","0.031","0","0","0","0","0","0"
"2018-01-28","1","발전량","0","0","0","0","0","0","0","0","0.032","0.165","0.423","0.58","0.615","0.603","0.524","0.397","0.2","0.025","0","0","0","0","0","0"
"2018-01-29","1","발전량","0","0","0","0","0","0","0","0.003","0.096","0.295","0.476","0.577","0.624","0.578","0.554","0.447","0.236","0.035","0","0","0","0","0","0"
"2018-01-30","1","발전량","0","0","0","0","0","0","0","0.004","0.121","0.329","0.504","0.528","0.64","0.633","0.402","0.335","0.186","0.024","0","0","0","0","0","0"
"2018-01-31","1","발전량","0","0","0","0","0","0","0","0.004","0.081","0.23","0.413","0.474","0.465","0.397","0.224","0.099","0.036","0.001","0","0","0","0","0","0"
"2018-02-01","1","발전량","0","0","0","0","0","0","0","0.004","0.109","0.311","0.484","0.588","0.636","0.623","0.549","0.423","0.226","0.037","0","0","0","0","0","0"
"2018-02-02","1","발전량","0","0","0","0","0","0","0","0.005","0.093","0.233","0.356","0.47","0.453","0.373","0.282","0.238","0.092","0.03","0","0","0","0","0","0"
"2018-02-03","1","발전량","0","0","0","0","0","0","0","0.004","0.086","0.31","0.509","0.624","0.675","0.678","0.608","0.477","0.27","0.05","0","0","0","0","0","0"
"2018-02-04","1","발전량","0","0","0","0","0","0","0","0.005","0.122","0.335","0.523","0.64","0.688","0.673","0.607","0.473","0.273","0.052","0","0","0","0","0","0"
"2018-02-05","1","발전량","0","0","0","0","0","0","0","0.006","0.132","0.347","0.499","0.625","0.679","0.645","0.494","0.289","0.12","0.042","0","0","0","0","0","0"
"2018-02-06","1","발전량","0","0","0","0","0","0","0","0.006","0.126","0.329","0.508","0.606","0.677","0.679","0.616","0.485","0.287","0.058","0","0","0","0","0","0"
"2018-02-07","1","발전량","0","0","0","0","0","0","0","0.009","0.145","0.352","0.521","0.619","0.664","0.655","0.598","0.473","0.279","0.058","0","0","0","0","0","0"
"2018-02-08","1","발전량","0","0","0","0","0","0","0","0.005","0.112","0.291","0.467","0.577","0.621","0.6","0.539","0.419","0.239","0.05","0","0","0","0","0","0"
"2018-02-09","1","발전량","0","0","0","0","0","0","0","0.003","0.078","0.295","0.444","0.556","0.609","0.595","0.502","0.258","0.122","0.021","0","0","0","0","0","0"
"2018-02-10","1","발전량","0","0","0","0","0","0","0","0.001","0.022","0.148","0.228","0.44","0.528","0.485","0.417","0.279","0.081","0.02","0","0","0","0","0","0"
"2018-02-11","1","발전량","0","0","0","0","0","0","0","0.005","0.127","0.324","0.286","0.478","0.634","0.463","0.558","0.37","0.102","0.036","0","0","0","0","0","0"
"2018-02-12","1","발전량","0","0","0","0","0","0","0","0.011","0.145","0.348","0.515","0.603","0.469","0.654","0.599","0.501","0.217","0.057","0","0","0","0","0","0"
"2018-02-13","1","발전량","0","0","0","0","0","0","0","0.012","0.149","0.351","0.518","0.615","0.666","0.655","0.593","0.472","0.286","0.068","0","0","0","0","0","0"
"2018-02-14","1","발전량","0","0","0","0","0","0","0","0.003","0.055","0.108","0.179","0.427","0.572","0.543","0.328","0.224","0.13","0.026","0","0","0","0","0","0"
"2018-02-15","1","발전량","0","0","0","0","0","0","0","0.001","0.042","0.086","0.301","0.393","0.48","0.485","0.413","0.341","0.194","0.061","0","0","0","0","0","0"
"2018-02-16","1","발전량","0","0","0","0","0","0","0","0.006","0.073","0.253","0.399","0.531","0.389","0.312","0.23","0.189","0.148","0.068","0.001","0","0","0","0","0"
"2018-02-17","1","발전량","0","0","0","0","0","0","0","0.016","0.167","0.373","0.54","0.64","0.684","0.671","0.606","0.488","0.3","0.04","0","0","0","0","0","0"
"2018-02-18","1","발전량","0","0","0","0","0","0","0","0.014","0.15","0.34","0.496","0.544","0.392","0.475","0.342","0.192","0.197","0.053","0","0","0","0","0","0"
"2018-02-19","1","발전량","0","0","0","0","0","0","0","0.006","0.069","0.233","0.346","0.474","0.436","0.403","0.236","0.153","0.081","0.022","0.001","0","0","0","0","0"
"2018-02-20","1","발전량","0","0","0","0","0","0","0","0.016","0.133","0.298","0.453","0.539","0.467","0.487","0.37","0.311","0.162","0.032","0","0","0","0","0","0"
"2018-02-21","1","발전량","0","0","0","0","0","0","0","0.005","0.102","0.128","0.238","0.238","0.265","0.248","0.256","0.163","0.095","0.03","0.001","0","0","0","0","0"
"2018-02-22","1","발전량","0","0","0","0","0","0","0","0.012","0.13","0.326","0.513","0.618","0.6","0.583","0.513","0.424","0.274","0.086","0.001","0","0","0","0","0"
"2018-02-23","1","발전량","0","0","0","0","0","0","0","0.014","0.123","0.279","0.438","0.527","0.363","0.518","0.454","0.354","0.156","0.025","0","0","0","0","0","0"
"2018-02-24","1","발전량","0","0","0","0","0","0","0","0.018","0.133","0.289","0.449","0.472","0.589","0.577","0.529","0.37","0.169","0.055","0.001","0","0","0","0","0"
"2018-02-25","1","발전량","0","0","0","0","0","0","0","0.003","0.087","0.253","0.401","0.516","0.485","0.204","0.174","0.125","0.066","0.036","0.001","0","0","0","0","0"
"2018-02-26","1","발전량","0","0","0","0","0","0","0","0.027","0.181","0.364","0.516","0.606","0.649","0.636","0.581","0.477","0.293","0.094","0.001","0","0","0","0","0"
"2018-02-27","1","발전량","0","0","0","0","0","0","0","0.024","0.156","0.328","0.451","0.503","0.522","0.516","0.4","0.325","0.212","0.086","0.004","0","0","0","0","0"
"2018-02-28","1","발전량","0","0","0","0","0","0","0","0","0.031","0.112","0.075","0.066","0.029","0.025","0.004","0.006","0.002","0.001","0","0","0","0","0","0"
"2018-03-01","1","발전량","0","0","0","0","0","0","0","0.012","0.141","0.168","0.534","0.663","0.729","0.714","0.643","0.541","0.369","0.12","0.002","0","0","0","0","0"
"2018-03-02","1","발전량","0","0","0","0","0","0","0","0.031","0.207","0.43","0.586","0.664","0.696","0.691","0.641","0.531","0.354","0.12","0.004","0","0","0","0","0"
"2018-03-03","1","발전량","0","0","0","0","0","0","0","0.017","0.089","0.195","0.318","0.436","0.634","0.663","0.611","0.501","0.335","0.12","0.004","0","0","0","0","0"
"2018-03-04","1","발전량","0","0","0","0","0","0","0","0.019","0.068","0.089","0.119","0.125","0.147","0.14","0.086","0.03","0.026","0.006","0","0","0","0","0","0"
"2018-03-05","1","발전량","0","0","0","0","0","0","0","0","0.001","0.012","0.048","0.035","0.062","0.094","0.086","0.135","0.109","0.029","0.001","0","0","0","0","0"
"2018-03-06","1","발전량","0","0","0","0","0","0","0","0.044","0.233","0.441","0.595","0.68","0.713","0.702","0.647","0.54","0.367","0.135","0.004","0","0","0","0","0"
"2018-03-07","1","발전량","0","0","0","0","0","0","0","0.007","0.069","0.227","0.126","0.174","0.079","0.057","0.107","0.071","0.023","0.014","0","0","0","0","0","0"
"2018-03-08","1","발전량","0","0","0","0","0","0","0","0","0.015","0.06","0.095","0.174","0.193","0.31","0.145","0.179","0.24","0.188","0.014","0","0","0","0","0"
"2018-03-09","1","발전량","0","0","0","0","0","0","0","0.042","0.176","0.258","0.454","0.281","0.364","0.27","0.299","0.151","0.057","0.019","0","0","0","0","0","0"
"2018-03-10","1","발전량","0","0","0","0","0","0","0","0.04","0.209","0.4","0.559","0.679","0.702","0.688","0.621","0.507","0.338","0.135","0.007","0","0","0","0","0"
"2018-03-11","1","발전량","0","0","0","0","0","0","0","0.05","0.217","0.408","0.561","0.653","0.672","0.665","0.605","0.491","0.312","0.12","0.007","0","0","0","0","0"
"2018-03-12","1","발전량","0","0","0","0","0","0","0","0.048","0.213","0.4","0.538","0.622","0.683","0.666","0.609","0.502","0.32","0.114","0.006","0","0","0","0","0"
"2018-03-13","1","발전량","0","0","0","0","0","0","0","0.044","0.222","0.42","0.566","0.66","0.693","0.687","0.631","0.526","0.361","0.145","0.008","0","0","0","0","0"
"2018-03-14","1","발전량","0","0","0","0","0","0","0","0.048","0.219","0.4","0.546","0.642","0.685","0.68","0.621","0.51","0.312","0.101","0.006","0","0","0","0","0"
"2018-03-15","1","발전량","0","0","0","0","0","0","0","0.001","0.011","0.009","0.014","0.01","0.069","0.071","0.059","0.09","0.039","0.007","0","0","0","0","0","0"
"2018-03-16","1","발전량","0","0","0","0","0","0","0","0.001","0.021","0","0","0","0","0","0.006","0.347","0.273","0.096","0.008","0","0","0","0","0"
"2018-03-17","1","발전량","0","0","0","0","0","0","0.001","0.071","0.261","0.467","0.613","0.693","0.716","0.703","0.642","0.515","0.297","0.17","0.013","0","0","0","0","0"
"2018-03-18","1","발전량","0","0","0","0","0","0","0.001","0.039","0.164","0.208","0.197","0.15","0.205","0.261","0.238","0.129","0.037","0.004","0","0","0","0","0","0"
"2018-03-19","1","발전량","0","0","0","0","0","0","0","0.003","0.02","0.042","0.058","0.051","0.058","0.059","0.05","0.041","0.009","0.004","0","0","0","0","0","0"
"2018-03-20","1","발전량","0","0","0","0","0","0","0","0.019","0.068","0.185","0.42","0.593","0.582","0.512","0.3","0.192","0.091","0.019","0","0","0","0","0","0"
"2018-03-21","1","발전량","0","0","0","0","0","0","0","0","0","0","0.001","0.007","0.017","0.016","0.018","0.027","0.038","0.027","0.001","0","0","0","0","0"
"2018-03-22","1","발전량","0","0","0","0","0","0","0","0.06","0.246","0.287","0.593","0.692","0.719","0.714","0.662","0.539","0.37","0.163","0.014","0","0","0","0","0"
"2018-03-23","1","발전량","0","0","0","0","0","0","0.003","0.084","0.264","0.468","0.613","0.691","0.716","0.7","0.637","0.543","0.377","0.159","0.014","0","0","0","0","0"
"2018-03-24","1","발전량","0","0","0","0","0","0","0.001","0.063","0.223","0.413","0.552","0.635","0.66","0.648","0.552","0.428","0.27","0.111","0.011","0","0","0","0","0"
"2018-03-25","1","발전량","0","0","0","0","0","0","0.004","0.083","0.264","0.446","0.57","0.65","0.699","0.679","0.595","0.487","0.33","0.141","0.014","0","0","0","0","0"
"2018-03-26","1","발전량","0","0","0","0","0","0","0.004","0.088","0.269","0.451","0.57","0.612","0.591","0.672","0.603","0.497","0.338","0.144","0.015","0","0","0","0","0"
"2018-03-27","1","발전량","0","0","0","0","0","0","0.004","0.087","0.272","0.45","0.572","0.638","0.675","0.651","0.595","0.49","0.331","0.139","0.014","0","0","0","0","0"
"2018-03-28","1","발전량","0","0","0","0","0","0","0.004","0.09","0.274","0.454","0.581","0.66","0.699","0.685","0.624","0.519","0.343","0.14","0.012","0","0","0","0","0"
"2018-03-29","1","발전량","0","0","0","0","0","0","0.006","0.073","0.192","0.376","0.508","0.586","0.612","0.585","0.445","0.436","0.287","0.12","0.014","0","0","0","0","0"
"2018-03-30","1","발전량","0","0","0","0","0","0","0.001","0.074","0.24","0.418","0.558","0.628","0.65","0.631","0.573","0.476","0.314","0.131","0.016","0","0","0","0","0"
"2018-03-31","1","발전량","0","0","0","0","0","0","0.005","0.081","0.238","0.412","0.539","0.608","0.639","0.637","0.575","0.47","0.316","0.138","0.017","0","0","0","0","0"
"2018-04-01","1","발전량","0","0","0","0","0","0","0.004","0.065","0.223","0.384","0.482","0.53","0.595","0.403","0.398","0.302","0.156","0.114","0.013","0","0","0","0","0"
"2018-04-02","1","발전량","0","0","0","0","0","0","0.007","0.086","0.223","0.364","0.528","0.634","0.667","0.658","0.608","0.505","0.349","0.156","0.02","0","0","0","0","0"
"2018-04-03","1","발전량","0","0","0","0","0","0","0.001","0.024","0.084","0.138","0.387","0.63","0.672","0.663","0.6","0.495","0.225","0.151","0.02","0","0","0","0","0"
"2018-04-04","1","발전량","0","0","0","0","0","0","0.007","0.056","0.132","0.093","0.114","0.081","0.093","0.073","0.014","0.021","0.019","0.002","0","0","0","0","0","0"
"2018-04-05","1","발전량","0","0","0","0","0","0","0","0.001","0.018","0.075","0.094","0.06","0.058","0.086","0.068","0.039","0.027","0.006","0","0","0","0","0","0"
"2018-04-06","1","발전량","0","0","0","0","0","0","0","0.016","0.068","0.166","0.262","0.607","0.681","0.68","0.552","0.516","0.296","0.183","0.035","0","0","0","0","0"
"2018-04-07","1","발전량","0","0","0","0","0","0","0.006","0.065","0.18","0.312","0.318","0.475","0.609","0.704","0.591","0.494","0.341","0.192","0.027","0","0","0","0","0"
"2018-04-08","1","발전량","0","0","0","0","0","0","0.012","0.118","0.31","0.477","0.61","0.67","0.696","0.671","0.618","0.346","0.292","0.155","0.024","0","0","0","0","0"
"2018-04-09","1","발전량","0","0","0","0","0","0","0.008","0.109","0.285","0.464","0.58","0.635","0.66","0.621","0.618","0.505","0.356","0.166","0.025","0","0","0","0","0"
"2018-04-10","1","발전량","0","0","0","0","0","0","0.019","0.088","0.155","0.345","0.499","0.496","0.534","0.672","0.494","0.38","0.289","0.058","0.004","0","0","0","0","0"
"2018-04-11","1","발전량","0","0","0","0","0","0","0.012","0.096","0.296","0.428","0.523","0.611","0.59","0.665","0.62","0.531","0.367","0.182","0.028","0","0","0","0","0"
"2018-04-12","1","발전량","0","0","0","0","0","0","0.014","0.134","0.217","0.253","0.405","0.582","0.504","0.486","0.384","0.271","0.181","0.076","0.022","0","0","0","0","0"
"2018-04-13","1","발전량","0","0","0","0","0","0","0.02","0.048","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018-04-14","1","발전량","0","0","0","0","0","0","0","0","0","0","0","0","0","0.037","0.084","0.122","0.197","0.058","0.001","0","0","0","0","0"
