지점,지점명,일시,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),평균 전운량(1/10)
192,진주,2012-01-01,-.2,0,5.6,1.7,61.5,5.2,1.68,7.45,,4.1
192,진주,2012-01-02,-2.3,,4,.7,55.8,8.1,1.98,11.4,,1.1
192,진주,2012-01-03,-1,0,4.4,1.2,64.4,6.3,1.38,7.78,,4.6
192,진주,2012-01-04,-1.7,,5.2,2.2,43.3,8.5,1.83,10.9,,1.8
192,진주,2012-01-05,-2.9,,2.7,.8,56.6,8.7,2.01,12.03,,0
192,진주,2012-01-06,-2.7,,2.2,.5,62.1,8.7,1.8,10.7,,1.1
192,진주,2012-01-07,-2.8,,3.6,.6,57.6,8.7,1.99,12.11,,0
192,진주,2012-01-08,-.9,,1.8,.6,45.9,6.8,1.87,10.74,,2.5
192,진주,2012-01-09,1.1,,3.8,1.2,52.9,8.4,1.69,10.04,,1.9
192,진주,2012-01-10,.4,,3.9,1.1,54.1,7.7,1.61,9.85,,4.4
192,진주,2012-01-11,-.3,,5.7,2.5,35.1,8.7,2.07,11.99,,2
192,진주,2012-01-12,-4.3,,2.4,.7,55,8.8,2.05,12.17,,1.1
192,진주,2012-01-13,-.9,,2.1,.5,64.6,6.8,1.76,9.46,,3.8
192,진주,2012-01-14,-.7,,4.2,.9,46.6,8.5,2,12.38,,4.1
192,진주,2012-01-15,.1,,2.3,.7,48,.2,1.05,5.72,,7.9
192,진주,2012-01-16,2.8,0,2.5,.7,61.8,.9,.76,5.1,,9.1
192,진주,2012-01-17,4.8,.1,1.8,.5,80,3.8,1.44,6.64,,7.9
192,진주,2012-01-18,4.6,3.5,2.9,.7,83,.5,1.15,4.56,,8.9
192,진주,2012-01-19,6.2,6,3.3,1.7,80.6,0,.49,1.81,,10
192,진주,2012-01-20,7.9,,3.9,2.3,60.3,2.4,1.24,6.07,,7.5
192,진주,2012-01-21,6.6,.2,2.9,1.5,66.9,2,1.33,7.12,,8.4
192,진주,2012-01-22,2,,4.9,2.7,39.6,8,1.93,11.42,,4
192,진주,2012-01-23,-3.9,,5.4,2.4,28.1,9.1,2.19,13.52,,0
192,진주,2012-01-24,-4.4,,2.6,.8,54.6,8,1.54,10.06,,3.3
192,진주,2012-01-25,-5,,5,1.7,50.3,9.2,2.26,14.42,,1.4
192,진주,2012-01-26,-2.7,,4.6,1.3,54.5,8.9,2.13,12.82,,2.3
192,진주,2012-01-27,1.3,,2.9,.8,59.1,8.9,1.87,12.15,,3.9
192,진주,2012-01-28,1.8,,5.3,1.1,44.6,7.6,2.25,12.85,,6
192,진주,2012-01-29,.4,,4.6,1.2,37.5,7.3,1.95,11.07,,2.3
192,진주,2012-01-30,-.8,,4.5,1.8,23.5,8.8,2.32,13.94,,2
192,진주,2012-01-31,-.5,0,4.9,1.5,55,8.3,1.87,11.17,,4
192,진주,2012-02-01,-2,0,5.6,2.6,38.3,9.2,2.33,14.22,,.9
192,진주,2012-02-02,-6.7,,7.1,3.1,30.1,9.5,2.43,15.26,,0
192,진주,2012-02-03,-5.9,,2.5,.6,51,9.5,2.36,15,,.3
192,진주,2012-02-04,-2.3,,3.1,.7,57.1,8.6,1.92,12.11,,2.8
192,진주,2012-02-05,-1.1,0,1.5,.4,65.8,2.3,1.41,5.98,,7.6
192,진주,2012-02-06,.1,3,1.1,.3,80.8,.6,.75,3.6,,8.3
192,진주,2012-02-07,-1.5,,6.1,2.4,46.8,6,2.36,12.05,,4.1
192,진주,2012-02-08,-4.3,,6.1,1.8,41.5,9.5,2.31,13.44,,2.5
192,진주,2012-02-09,-2.6,,2.6,.9,50.1,9.4,2.31,14.47,,4.6
192,진주,2012-02-10,-.1,,3.1,1,46.1,6,1.7,10.29,,3.9
192,진주,2012-02-11,-1.7,,3.1,.8,42,9.9,2.55,16.85,,0
192,진주,2012-02-12,.2,,2.4,.8,44.1,9.3,2.46,15.45,,4.4
192,진주,2012-02-13,2.6,.3,2.2,.6,61,.6,.72,3.11,,9.6
192,진주,2012-02-14,3.1,7,1.4,.6,88.1,0,.87,3.71,,9.4
192,진주,2012-02-15,4.1,,3.1,.9,61.3,6.5,2.38,12.48,,6.1
192,진주,2012-02-16,2.6,,5,2.5,28.6,9.8,2.51,16.61,,3.3
192,진주,2012-02-17,-1.8,,6.5,2.5,34.8,9.7,2.65,16.95,,.9
192,진주,2012-02-18,-2.6,,5,2.2,34.3,10.2,2.64,17.07,,.1
192,진주,2012-02-19,-2.2,,3.6,.9,46.5,10.2,2.7,18.12,,0
192,진주,2012-02-20,-.4,,2.4,.8,48.9,10.3,2.64,17.62,,1.9
192,진주,2012-02-21,-.4,2,2.9,.6,71,0,.74,3.94,1,8.3
192,진주,2012-02-22,4.1,,3.5,.6,81.5,0,.94,5.16,,9.9
192,진주,2012-02-23,7.8,,4.9,1.3,56,9.4,2.5,15.85,,5.9
192,진주,2012-02-24,5.6,,4,1.3,58.4,4.8,2.6,12.46,,7.3
192,진주,2012-02-25,4.1,,4.2,1.5,56.6,2.6,1.91,9.47,,8.4
192,진주,2012-02-26,.8,,3.3,.8,49.5,2.9,1.56,8.62,,5.1
192,진주,2012-02-27,.7,,3.8,1.1,39.1,10.5,2.85,19.49,,.8
